timestamp,source,src_ip,dst_ip,dst_port,proto,event,mitre_id,mitre_name
2026-08-03T04:00:10.305044+00:00,zeek:conn,192.168.50.10,192.168.50.6,82,tcp,connection 192.168.50.10 -> 192.168.50.6:82 (tcp),,
2026-08-03T04:00:10.305314+00:00,zeek:conn,192.168.50.10,192.168.50.6,1862,tcp,connection 192.168.50.10 -> 192.168.50.6:1862 (tcp),,
2026-08-03T04:00:10.305316+00:00,zeek:conn,192.168.50.10,192.168.50.6,8873,tcp,connection 192.168.50.10 -> 192.168.50.6:8873 (tcp),,
2026-08-03T04:00:10.305565+00:00,zeek:conn,192.168.50.10,192.168.50.6,2196,tcp,connection 192.168.50.10 -> 192.168.50.6:2196 (tcp),,
2026-08-03T04:00:10.305567+00:00,zeek:conn,192.168.50.10,192.168.50.6,50500,tcp,connection 192.168.50.10 -> 192.168.50.6:50500 (tcp),,
2026-08-03T04:00:10.305867+00:00,zeek:conn,192.168.50.10,192.168.50.6,5190,tcp,connection 192.168.50.10 -> 192.168.50.6:5190 (tcp),,
2026-08-03T04:00:10.305868+00:00,zeek:conn,192.168.50.10,192.168.50.6,49159,tcp,connection 192.168.50.10 -> 192.168.50.6:49159 (tcp),,
2026-08-03T04:00:10.306336+00:00,zeek:conn,192.168.50.10,192.168.50.6,21571,tcp,connection 192.168.50.10 -> 192.168.50.6:21571 (tcp),,
2026-08-03T04:00:10.306339+00:00,zeek:conn,192.168.50.10,192.168.50.6,56737,tcp,connection 192.168.50.10 -> 192.168.50.6:56737 (tcp),,
2026-08-03T04:00:10.306340+00:00,zeek:conn,192.168.50.10,192.168.50.6,60443,tcp,connection 192.168.50.10 -> 192.168.50.6:60443 (tcp),,
2026-08-03T04:00:10.306342+00:00,zeek:conn,192.168.50.10,192.168.50.6,5566,tcp,connection 192.168.50.10 -> 192.168.50.6:5566 (tcp),,
2026-08-03T04:00:10.306703+00:00,zeek:conn,192.168.50.10,192.168.50.6,5051,tcp,connection 192.168.50.10 -> 192.168.50.6:5051 (tcp),,
2026-08-03T04:00:10.306705+00:00,zeek:conn,192.168.50.10,192.168.50.6,5004,tcp,connection 192.168.50.10 -> 192.168.50.6:5004 (tcp),,
2026-08-03T04:00:10.306707+00:00,zeek:conn,192.168.50.10,192.168.50.6,407,tcp,connection 192.168.50.10 -> 192.168.50.6:407 (tcp),,
2026-08-03T04:00:10.306953+00:00,zeek:conn,192.168.50.10,192.168.50.6,3580,tcp,connection 192.168.50.10 -> 192.168.50.6:3580 (tcp),,
2026-08-03T04:00:10.306956+00:00,zeek:conn,192.168.50.10,192.168.50.6,9917,tcp,connection 192.168.50.10 -> 192.168.50.6:9917 (tcp),,
2026-08-03T04:00:10.307201+00:00,zeek:conn,192.168.50.10,192.168.50.6,8333,tcp,connection 192.168.50.10 -> 192.168.50.6:8333 (tcp),,
2026-08-03T04:00:10.307202+00:00,zeek:conn,192.168.50.10,192.168.50.6,8194,tcp,connection 192.168.50.10 -> 192.168.50.6:8194 (tcp),,
2026-08-03T04:00:10.307462+00:00,zeek:conn,192.168.50.10,192.168.50.6,3998,tcp,connection 192.168.50.10 -> 192.168.50.6:3998 (tcp),,
2026-08-03T04:00:10.311535+00:00,zeek:conn,192.168.50.10,192.168.50.6,3128,tcp,connection 192.168.50.10 -> 192.168.50.6:3128 (tcp),,
2026-08-03T04:00:10.311540+00:00,zeek:conn,192.168.50.10,192.168.50.6,4998,tcp,connection 192.168.50.10 -> 192.168.50.6:4998 (tcp),,
2026-08-03T04:00:10.311541+00:00,zeek:conn,192.168.50.10,192.168.50.6,16000,tcp,connection 192.168.50.10 -> 192.168.50.6:16000 (tcp),,
2026-08-03T04:00:10.311542+00:00,zeek:conn,192.168.50.10,192.168.50.6,9503,tcp,connection 192.168.50.10 -> 192.168.50.6:9503 (tcp),,
2026-08-03T04:00:10.311543+00:00,zeek:conn,192.168.50.10,192.168.50.6,1061,tcp,connection 192.168.50.10 -> 192.168.50.6:1061 (tcp),,
2026-08-03T04:00:10.311543+00:00,zeek:conn,192.168.50.10,192.168.50.6,5910,tcp,connection 192.168.50.10 -> 192.168.50.6:5910 (tcp),,
2026-08-03T04:00:10.311544+00:00,zeek:conn,192.168.50.10,192.168.50.6,8001,tcp,connection 192.168.50.10 -> 192.168.50.6:8001 (tcp),,
2026-08-03T04:00:10.311790+00:00,zeek:conn,192.168.50.10,192.168.50.6,5998,tcp,connection 192.168.50.10 -> 192.168.50.6:5998 (tcp),,
2026-08-03T04:00:10.311793+00:00,zeek:conn,192.168.50.10,192.168.50.6,1026,tcp,connection 192.168.50.10 -> 192.168.50.6:1026 (tcp),,
2026-08-03T04:00:10.311794+00:00,zeek:conn,192.168.50.10,192.168.50.6,6689,tcp,connection 192.168.50.10 -> 192.168.50.6:6689 (tcp),,
2026-08-03T04:00:10.311795+00:00,zeek:conn,192.168.50.10,192.168.50.6,8402,tcp,connection 192.168.50.10 -> 192.168.50.6:8402 (tcp),,
2026-08-03T04:00:10.311795+00:00,zeek:conn,192.168.50.10,192.168.50.6,1782,tcp,connection 192.168.50.10 -> 192.168.50.6:1782 (tcp),,
2026-08-03T04:00:10.311796+00:00,zeek:conn,192.168.50.10,192.168.50.6,4242,tcp,connection 192.168.50.10 -> 192.168.50.6:4242 (tcp),,
2026-08-03T04:00:10.312043+00:00,zeek:conn,192.168.50.10,192.168.50.6,2608,tcp,connection 192.168.50.10 -> 192.168.50.6:2608 (tcp),,
2026-08-03T04:00:10.312046+00:00,zeek:conn,192.168.50.10,192.168.50.6,3077,tcp,connection 192.168.50.10 -> 192.168.50.6:3077 (tcp),,
2026-08-03T04:00:10.312047+00:00,zeek:conn,192.168.50.10,192.168.50.6,1068,tcp,connection 192.168.50.10 -> 192.168.50.6:1068 (tcp),,
2026-08-03T04:00:10.312048+00:00,zeek:conn,192.168.50.10,192.168.50.6,17877,tcp,connection 192.168.50.10 -> 192.168.50.6:17877 (tcp),,
2026-08-03T04:00:10.312048+00:00,zeek:conn,192.168.50.10,192.168.50.6,5862,tcp,connection 192.168.50.10 -> 192.168.50.6:5862 (tcp),,
2026-08-03T04:00:10.312312+00:00,zeek:conn,192.168.50.10,192.168.50.6,5986,tcp,connection 192.168.50.10 -> 192.168.50.6:5986 (tcp),,
2026-08-03T04:00:10.312314+00:00,zeek:conn,192.168.50.10,192.168.50.6,1001,tcp,connection 192.168.50.10 -> 192.168.50.6:1001 (tcp),,
2026-08-03T04:00:10.312315+00:00,zeek:conn,192.168.50.10,192.168.50.6,8021,tcp,connection 192.168.50.10 -> 192.168.50.6:8021 (tcp),,
2026-08-03T04:00:10.312316+00:00,zeek:conn,192.168.50.10,192.168.50.6,7402,tcp,connection 192.168.50.10 -> 192.168.50.6:7402 (tcp),,
2026-08-03T04:00:10.312317+00:00,zeek:conn,192.168.50.10,192.168.50.6,1145,tcp,connection 192.168.50.10 -> 192.168.50.6:1145 (tcp),,
2026-08-03T04:00:10.313163+00:00,zeek:conn,192.168.50.10,192.168.50.6,33354,tcp,connection 192.168.50.10 -> 192.168.50.6:33354 (tcp),,
2026-08-03T04:00:10.313163+00:00,zeek:conn,192.168.50.10,192.168.50.6,1043,tcp,connection 192.168.50.10 -> 192.168.50.6:1043 (tcp),,
2026-08-03T04:00:10.313165+00:00,zeek:conn,192.168.50.10,192.168.50.6,873,tcp,connection 192.168.50.10 -> 192.168.50.6:873 (tcp),,
2026-08-03T04:00:10.313512+00:00,zeek:conn,192.168.50.10,192.168.50.6,5952,tcp,connection 192.168.50.10 -> 192.168.50.6:5952 (tcp),,
2026-08-03T04:00:10.313514+00:00,zeek:conn,192.168.50.10,192.168.50.6,2323,tcp,connection 192.168.50.10 -> 192.168.50.6:2323 (tcp),,
2026-08-03T04:00:10.313515+00:00,zeek:conn,192.168.50.10,192.168.50.6,5679,tcp,connection 192.168.50.10 -> 192.168.50.6:5679 (tcp),,
2026-08-03T04:00:10.313903+00:00,zeek:conn,192.168.50.10,192.168.50.6,800,tcp,connection 192.168.50.10 -> 192.168.50.6:800 (tcp),,
2026-08-03T04:00:10.313906+00:00,zeek:conn,192.168.50.10,192.168.50.6,32783,tcp,connection 192.168.50.10 -> 192.168.50.6:32783 (tcp),,
2026-08-03T04:00:10.313907+00:00,zeek:conn,192.168.50.10,192.168.50.6,3300,tcp,connection 192.168.50.10 -> 192.168.50.6:3300 (tcp),,
2026-08-03T04:00:10.313907+00:00,zeek:conn,192.168.50.10,192.168.50.6,83,tcp,connection 192.168.50.10 -> 192.168.50.6:83 (tcp),,
2026-08-03T04:00:10.313908+00:00,zeek:conn,192.168.50.10,192.168.50.6,1069,tcp,connection 192.168.50.10 -> 192.168.50.6:1069 (tcp),,
2026-08-03T04:00:10.313910+00:00,zeek:conn,192.168.50.10,192.168.50.6,9010,tcp,connection 192.168.50.10 -> 192.168.50.6:9010 (tcp),,
2026-08-03T04:00:10.314349+00:00,zeek:conn,192.168.50.10,192.168.50.6,6669,tcp,connection 192.168.50.10 -> 192.168.50.6:6669 (tcp),,
2026-08-03T04:00:10.314353+00:00,zeek:conn,192.168.50.10,192.168.50.6,6007,tcp,connection 192.168.50.10 -> 192.168.50.6:6007 (tcp),,
2026-08-03T04:00:10.314707+00:00,zeek:conn,192.168.50.10,192.168.50.6,903,tcp,connection 192.168.50.10 -> 192.168.50.6:903 (tcp),,
2026-08-03T04:00:10.314710+00:00,zeek:conn,192.168.50.10,192.168.50.6,1455,tcp,connection 192.168.50.10 -> 192.168.50.6:1455 (tcp),,
2026-08-03T04:00:10.314711+00:00,zeek:conn,192.168.50.10,192.168.50.6,3945,tcp,connection 192.168.50.10 -> 192.168.50.6:3945 (tcp),,
2026-08-03T04:00:10.314712+00:00,zeek:conn,192.168.50.10,192.168.50.6,416,tcp,connection 192.168.50.10 -> 192.168.50.6:416 (tcp),,
2026-08-03T04:00:10.314713+00:00,zeek:conn,192.168.50.10,192.168.50.6,8088,tcp,connection 192.168.50.10 -> 192.168.50.6:8088 (tcp),,
2026-08-03T04:00:10.314714+00:00,zeek:conn,192.168.50.10,192.168.50.6,12174,tcp,connection 192.168.50.10 -> 192.168.50.6:12174 (tcp),,
2026-08-03T04:00:10.314715+00:00,zeek:conn,192.168.50.10,192.168.50.6,5718,tcp,connection 192.168.50.10 -> 192.168.50.6:5718 (tcp),,
2026-08-03T04:00:10.315499+00:00,zeek:conn,192.168.50.10,192.168.50.6,1105,tcp,connection 192.168.50.10 -> 192.168.50.6:1105 (tcp),,
2026-08-03T04:00:10.315499+00:00,zeek:conn,192.168.50.10,192.168.50.6,1300,tcp,connection 192.168.50.10 -> 192.168.50.6:1300 (tcp),,
2026-08-03T04:00:10.315500+00:00,zeek:conn,192.168.50.10,192.168.50.6,9485,tcp,connection 192.168.50.10 -> 192.168.50.6:9485 (tcp),,
2026-08-03T04:00:10.315734+00:00,zeek:conn,192.168.50.10,192.168.50.6,1233,tcp,connection 192.168.50.10 -> 192.168.50.6:1233 (tcp),,
2026-08-03T04:00:10.315736+00:00,zeek:conn,192.168.50.10,192.168.50.6,2260,tcp,connection 192.168.50.10 -> 192.168.50.6:2260 (tcp),,
2026-08-03T04:00:10.316097+00:00,zeek:conn,192.168.50.10,192.168.50.6,545,tcp,connection 192.168.50.10 -> 192.168.50.6:545 (tcp),,
2026-08-03T04:00:10.322557+00:00,zeek:conn,192.168.50.10,192.168.50.6,843,tcp,connection 192.168.50.10 -> 192.168.50.6:843 (tcp),,
2026-08-03T04:00:10.322561+00:00,zeek:conn,192.168.50.10,192.168.50.6,65000,tcp,connection 192.168.50.10 -> 192.168.50.6:65000 (tcp),,
2026-08-03T04:00:10.322562+00:00,zeek:conn,192.168.50.10,192.168.50.6,4321,tcp,connection 192.168.50.10 -> 192.168.50.6:4321 (tcp),,
2026-08-03T04:00:10.322563+00:00,zeek:conn,192.168.50.10,192.168.50.6,10180,tcp,connection 192.168.50.10 -> 192.168.50.6:10180 (tcp),,
2026-08-03T04:00:10.322564+00:00,zeek:conn,192.168.50.10,192.168.50.6,1092,tcp,connection 192.168.50.10 -> 192.168.50.6:1092 (tcp),,
2026-08-03T04:00:10.322565+00:00,zeek:conn,192.168.50.10,192.168.50.6,5280,tcp,connection 192.168.50.10 -> 192.168.50.6:5280 (tcp),,
2026-08-03T04:00:10.322566+00:00,zeek:conn,192.168.50.10,192.168.50.6,9207,tcp,connection 192.168.50.10 -> 192.168.50.6:9207 (tcp),,
2026-08-03T04:00:10.322567+00:00,zeek:conn,192.168.50.10,192.168.50.6,1352,tcp,connection 192.168.50.10 -> 192.168.50.6:1352 (tcp),,
2026-08-03T04:00:10.322568+00:00,zeek:conn,192.168.50.10,192.168.50.6,2710,tcp,connection 192.168.50.10 -> 192.168.50.6:2710 (tcp),,
2026-08-03T04:00:10.322818+00:00,zeek:conn,192.168.50.10,192.168.50.6,3323,tcp,connection 192.168.50.10 -> 192.168.50.6:3323 (tcp),,
2026-08-03T04:00:10.322820+00:00,zeek:conn,192.168.50.10,192.168.50.6,1863,tcp,connection 192.168.50.10 -> 192.168.50.6:1863 (tcp),,
2026-08-03T04:00:10.322821+00:00,zeek:conn,192.168.50.10,192.168.50.6,8086,tcp,connection 192.168.50.10 -> 192.168.50.6:8086 (tcp),,
2026-08-03T04:00:10.322822+00:00,zeek:conn,192.168.50.10,192.168.50.6,9071,tcp,connection 192.168.50.10 -> 192.168.50.6:9071 (tcp),,
2026-08-03T04:00:10.322823+00:00,zeek:conn,192.168.50.10,192.168.50.6,1984,tcp,connection 192.168.50.10 -> 192.168.50.6:1984 (tcp),,
2026-08-03T04:00:10.323068+00:00,zeek:conn,192.168.50.10,192.168.50.6,12000,tcp,connection 192.168.50.10 -> 192.168.50.6:12000 (tcp),,
2026-08-03T04:00:10.323071+00:00,zeek:conn,192.168.50.10,192.168.50.6,1501,tcp,connection 192.168.50.10 -> 192.168.50.6:1501 (tcp),,
2026-08-03T04:00:10.323072+00:00,zeek:conn,192.168.50.10,192.168.50.6,62078,tcp,connection 192.168.50.10 -> 192.168.50.6:62078 (tcp),,
2026-08-03T04:00:10.323073+00:00,zeek:conn,192.168.50.10,192.168.50.6,2222,tcp,connection 192.168.50.10 -> 192.168.50.6:2222 (tcp),,
2026-08-03T04:00:10.323073+00:00,zeek:conn,192.168.50.10,192.168.50.6,9200,tcp,connection 192.168.50.10 -> 192.168.50.6:9200 (tcp),,
2026-08-03T04:00:10.323318+00:00,zeek:conn,192.168.50.10,192.168.50.6,3827,tcp,connection 192.168.50.10 -> 192.168.50.6:3827 (tcp),,
2026-08-03T04:00:10.323320+00:00,zeek:conn,192.168.50.10,192.168.50.6,3283,tcp,connection 192.168.50.10 -> 192.168.50.6:3283 (tcp),,
2026-08-03T04:00:10.323321+00:00,zeek:conn,192.168.50.10,192.168.50.6,720,tcp,connection 192.168.50.10 -> 192.168.50.6:720 (tcp),,
2026-08-03T04:00:10.323322+00:00,zeek:conn,192.168.50.10,192.168.50.6,1065,tcp,connection 192.168.50.10 -> 192.168.50.6:1065 (tcp),,
2026-08-03T04:00:10.323323+00:00,zeek:conn,192.168.50.10,192.168.50.6,32768,tcp,connection 192.168.50.10 -> 192.168.50.6:32768 (tcp),,
2026-08-03T04:00:10.323562+00:00,zeek:conn,192.168.50.10,192.168.50.6,4445,tcp,connection 192.168.50.10 -> 192.168.50.6:4445 (tcp),,
2026-08-03T04:00:10.323644+00:00,zeek:conn,192.168.50.10,192.168.50.6,50800,tcp,connection 192.168.50.10 -> 192.168.50.6:50800 (tcp),,
2026-08-03T04:00:10.324033+00:00,zeek:conn,192.168.50.10,192.168.50.6,40193,tcp,connection 192.168.50.10 -> 192.168.50.6:40193 (tcp),,
2026-08-03T04:00:10.324036+00:00,zeek:conn,192.168.50.10,192.168.50.6,2557,tcp,connection 192.168.50.10 -> 192.168.50.6:2557 (tcp),,
2026-08-03T04:00:10.324037+00:00,zeek:conn,192.168.50.10,192.168.50.6,43,tcp,connection 192.168.50.10 -> 192.168.50.6:43 (tcp),,
2026-08-03T04:00:10.324559+00:00,zeek:conn,192.168.50.10,192.168.50.6,3690,tcp,connection 192.168.50.10 -> 192.168.50.6:3690 (tcp),,
2026-08-03T04:00:10.324559+00:00,zeek:conn,192.168.50.10,192.168.50.6,1078,tcp,connection 192.168.50.10 -> 192.168.50.6:1078 (tcp),,
